Scientific Name
Gymnocalycium paediophilum
Gymnocalycium paraguayense
Gymnocalycium parvulum
Gymnocalycium pflanzii
Gymnocalycium platense
Gymnocalycium pugionacanthum
Gymnocalycium quehlianum
Gymnocalycium ragonesei
Gymnocalycium reductum
Gymnocalycium ritterianum
Gymnocalycium robustum
Gymnocalycium saglionis
Gymnocalycium schickendantzii
Gymnocalycium schroederianum
Gymnocalycium spegazzinii
Gymnocalycium stenopleurum
Gymnocalycium striglianum
Gymnocalycium taningaense
Gymnocalycium uebelmannianum
Gymnocalycium uruguayense
Haageocereus acranthus
Haageocereus albispinus
Haageocereus chilensis
Haageocereus decumbens
Haageocereus icosagonoides
Haageocereus lanugispinus
Haageocereus platinospinus
Haageocereus pluriflorus
Haageocereus pseudomelanostele
Haageocereus repens
Haageocereus subtilispinus
Haageocereus tenuis
Haageocereus versicolor
Haagespostoa albisetata
Haagespostoa climaxantha
Harrisia adscendens
Harrisia balansae
Harrisia earlei
Harrisia eriophora
Harrisia gracilis
Harrisia martinii
Harrisia pomanensis
Harrisia regelii
Harrisia tetracantha
Harrisia tortuosa
Hatiora cylindrica
Hatiora herminiae
Hatiora salicornioides
Hylocereus calcaratus
Hylocereus costaricensis
Hylocereus escuintlensis
Hylocereus guatemalensis
Hylocereus megalanthus
Hylocereus minutiflorus
Hylocereus monacanthus
Hylocereus ocamponis
Hylocereus setaceus
Hylocereus stenopterus
Hylocereus triangularis
Hylocereus tricae
Hylocereus undatus
Jasminocereus thouarsii
Lasiocereus fulvus
Lasiocereus rupicola
Leocereus bahiensis
Lepismium cruciforme
Lepismium houlletianum
Lepismium lorentzianum
Lepismium lumbricoides
Lepismium warmingianum
Leptocereus arboreus
Leptocereus assurgens
Leptocereus carinatus
Leptocereus grantianus
Leptocereus leonii
Leptocereus paniculatus
Leptocereus quadricostatus
Leptocereus scopulophilus
Leptocereus sylvestris
Leptocereus weingartianus
Leptocereus wrightii
Leuchtenbergia principis
Lophophora diffusa
Lophophora fricii
Lophophora williamsii
Lymanbensonia brevispina
Lymanbensonia crenata
Lymanbensonia incachacana
Lymanbensonia micrantha
Maihuenia patagonica
Maihuenia poeppigii
Maihueniopsis archiconoidea
Maihueniopsis atacamensis
Maihueniopsis camachoi
Maihueniopsis clavarioides
Maihueniopsis colorea
Maihueniopsis conoidea
Maihueniopsis crassispina
Maihueniopsis darwinii
Maihueniopsis domeykoensis
Maihueniopsis glochidiata
Maihueniopsis glomerata
